Model Name,Model ID,Quant. Dataset ID,Test Dataset ID
Image Quality Assessment,1c43753e-5e4d-4d32-b08a-584098290d72,/,c120e821-11be-48a0-a0ab-efeef3ad6e81
Objectron,4c7a51db-9cbe-4aee-a4c1-b8abbbe18c11,/,0d05c1af-778a-40ab-8dbf-27086eefc740
L2CS-Net,7051c9d2-78a4-420b-91a8-2d40ecf958dd,/,79ab4c81-c554-4acc-b260-4872ad542259
Ultra Fast Lane Detection,b15d067f-2cde-48a0-85bf-52e1174b1ac0,Driving Dataset from Hub,dfc95b71-f004-4b8f-8a4a-2b88b4c0543f
MiDaS v2.1,be09b09e-053d-4330-a0fc-0c9d16aac007,General Dataset from Hub,881c017c-ad39-435a-a690-b583db6e9244
Depth Anything V2,c5bf9763-d29d-4b10-8642-fbd032236383,/,881c017c-ad39-435a-a690-b583db6e9244
Lite-HRNet,c7c9e353-9f6d-43e1-9b45-8edeae82db70,/,17a2018b-e95c-42ad-9a7e-3e686786e3ee
Paddle Text Detection,131d855c-60b1-4634-a14d-1269bb35dcd2,86360744-9f27-4105-bbda-66a90695b8d8,86f79b05-d183-43ab-a2cc-d4dc3069c55b
Paddle Text Recognition,9ae12b58-3551-49b1-af22-721ba4bcf269,/,86f79b05-d183-43ab-a2cc-d4dc3069c55b
Gaze estimation ADAS,b174ff1b-740b-4016-b8d5-b9488dbdd657,/,79ab4c81-c554-4acc-b260-4872ad542259
XFeat,6c2790a1-bf68-4e89-a4b3-5c9ae68183b5,General Dataset from Hub,d3ccbb54-aec3-4494-a416-cc7b86f9f2b7
MobileNet-SSD,2da6e0a5-4785-488d-8cf5-c35f7ec1a1ed,/,881c017c-ad39-435a-a690-b583db6e9244
CREStereo,4729a8bd-54df-467a-92ca-a8a5e70b52ab,/,/
PP-LiteSeg,5963005b-eab3-4b68-a24c-45f3b95c6b9d,Driving Dataset from Hub,dfc95b71-f004-4b8f-8a4a-2b88b4c0543f
YOLO-World-L,6684e96f-11fc-4d92-8657-12a5fd8e532a,/ todo?,/
OSNet,6d853621-818b-4fa4-bd9a-d9bdcb5616e6,/,17a2018b-e95c-42ad-9a7e-3e686786e3ee
Thermal Person Detection,b1d7a62f-7020-469c-8fa9-a6d1ff3499b2,/,b2efc578-41f6-4a75-a9a3-2c268ea6b4af
DnCNN3,89c61463-1074-4f31-907f-751a83a9643a,/,c120e821-11be-48a0-a0ab-efeef3ad6e81
Zero-DCE,8eaae754-6195-4766-a39c-2d19a856a492,General Dataset from Hub,d1d12848-77ce-4965-a795-8f87ebc6d165
DeepLab-V3-Plus,1189a661-fd0a-44fd-bc9e-64b94d60cb49,General Dataset from Hub,881c017c-ad39-435a-a690-b583db6e9244
Fire Detection,899c54a8-9e62-4c99-843d-a51751949a7e,/,e28341f6-a0dc-4cb3-b981-20543562ef1b
Mobile Object Localizer,d7187509-c6c5-4979-9f59-af885011ad2e,/,881c017c-ad39-435a-a690-b583db6e9244
ArcFace,e24a577e-e2ff-4e4f-96b7-4afb63155eac,/,468160d9-7421-4956-8c17-4d115fbdecab
RT Super Resolution,536a03d9-4901-4a4d-ab7a-0e12c472c48e,General Dataset from Hub,468160d9-7421-4956-8c17-4d115fbdecab
